paper_id,first_author,publication_year,title,publication,period,game_primary,franchise,er_code,er_confidence,kf_primary,kf_coprimary,nc_level,abstract_accessed,indigenous_paper,pokemon_cluster,irr_sample,training_set,coder_notes
Ulman2001,Ulman,2001,"Beyond Nature/Writing: Virtual Landscapes Online, in Print, and in ‘Real Life.’",Beyond nature writing: expanding the boundaries of ecocriticism,2001-2015,,None,,,,,,N,N,N,Y,A,
Balmford2002,Balmford,2002,Why Conservationists Should Heed Pokémon,Science,2001-2015,,Pokémon,,,,,,N,N,N,Y,A,
Wills2002,Wills,2002,Digital Dinosaurs and Artificial Life: Exploring the Culture of Nature in Computer and Video Games,Cultural Values,2001-2015,,None,,,,,,N,N,N,Y,,
Clary2004,Clary,2004,Digital Nature: Uru and the Representation of Wilderness in Computer Games,Works and Days,2001-2015,,None,,,,,,N,N,N,Y,B,
Opel2004,Opel,2004,"Zootycoon: Capitalism, Nature, and the Pursuit of Happiness",Ethics & the Environment,2001-2015,,None,,,,,,N,N,N,Y,,
Kawahara2007,Kawahara,2007,"Thirty-foot telescoping nets, bug collecting video games, and beetle pests: Entomology in modern Japan",American Entomologist,2001-2015,,None,,,,,,N,N,Y,,,
Kaplan2008,Kaplan,2008,"Green Reading, Green Gaming: The Future of Ecocriticsm, Storytelling, and Environmental Ethics in Virtual Worlds",Meaningful Play 2008,2001-2015,,None,,,,,,N,N,N,Y,,
Stumpo2008,Stumpo,2008,E-cology: Everquest and the Environment(s),Interdisciplinary Studies in Literature and Environment,2001-2015,,None,,,,,,N,N,N,Y,,
Acorn2009,Acorn,2009,The Pokèmon Paradox,American Entomologist,2001-2015,,None,,,,,,N,N,Y,,B,
Bainbridge2010,Bainbridge,2010,Virtual Nature: Environmentalism in Two Multi-player Online Games,"Journal for the Study of Religion, Nature and Culture",2001-2015,,None,,,,,,N,N,N,,,
Kaplan2010,Kaplan,2010,Greening the Gamescape: How Virtual Game Worlds Can Reflect Real-World Environmental Values,dissertation,2001-2015,,None,,,,,,N,N,N,,,
Sawers2010,Sawers,2010,All the animals are gone? The politics of contemporary hunter arcade games,Continuum: Journal of Media & Cultural Studies,2001-2015,,None,,,,,,N,N,N,,,
Zhang2010,Zhang,2010,电子游戏在促进自然观察智能发展方面的作用,中小学电教: 综合,2001-2015,,None,,,,,,N,N,N,,,
Molloy2011,Molloy,2011,Hunted: Recreational Killing,Popular Media and Animals,2001-2015,,None,,,,,,N,N,N,Y,A,
Hoshina2012,Hoshina,2012,Cultural Coleopterology in Modern Japan: The Rhinoceros Beetle in Akihabara Culture,American Entomologist,2001-2015,,None,,,,,,N,N,Y,,,
Meyers2012,Meyers,2012,“Green Washing” the Digital Playground: How Virtual Worlds Support Ecological Intelligence…or Do They?,Proceedings of the 2012 iConference,2001-2015,,None,,,,,,N,N,N,Y,,
Vella2013,Vella,2013,The Wanderer in the Wilderness: Being in the virtual landscape in Minecraft and Proteus,The Philosophy of Computer Games Conference,2001-2015,,Minecraft,,,,,,N,N,N,,,
Weagly2013,Weagly,2013,"Dirt, not soil: A unit analysis of ""Minecraft"" dirt blocks and gameworld representations of global environmental ideologies",dissertation,2001-2015,,Minecraft,,,,,,N,N,N,Y,A,
Backe2014,Backe,2014,Greenshifting Game Studies: Arguments for an Ecocritical Approach to Digital Games,First Person Scholar,2001-2015,,None,,,,,,N,N,N,Y,B,
Bainbridge2014,Bainbridge,2014,'It is a Pokémon world': The Pokémon franchise and the environment,International Journal of Cultural Studies,2001-2015,,Pokémon,,,,,,N,N,N,,A,
Bianchi2014,Bianchi,2014,Rhetoric and recapture: Theorising digital game ecologies through EA’s The Sims series,Green Letters: Studies in Ecocriticism,2001-2015,,TheSims,,,,,,N,N,N,,A,
Bohunicky2014,Bohunicky,2014,Ecocomposition: Writing ecologies in digital games,Green Letters: Studies in Ecocriticism,2001-2015,,None,,,,,,N,N,N,Y,,
Brown2014,Brown,2014,The Garden in the Machine: Video Games and Environmental Consciousness,Philological Quarterly,2001-2015,,None,,,,,,N,N,N,,B,
Caciuc2014,Caciuc,2014,Reflections on the Ecologic Ethics in Online Games,International Journal of Social and Educational Innovation,2001-2015,,None,,,,,,N,N,N,Y,A,
