paper_id,first_author,publication_year,title,publication,period,game_primary,franchise,er_code,er_confidence,kf_primary,kf_coprimary,nc_level,abstract_accessed,indigenous_paper,pokemon_cluster,irr_sample,training_set,coder_notes
Ulman2001,Ulman,2001,"Beyond Nature/Writing: Virtual Landscapes Online, in Print, and in ‘Real Life.’",Beyond nature writing: expanding the boundaries of ecocriticism,2001-2015,,None,,,,,,N,N,N,Y,A,
Balmford2002,Balmford,2002,Why Conservationists Should Heed Pokémon,Science,2001-2015,,Pokémon,,,,,,N,N,N,Y,A,
Wills2002,Wills,2002,Digital Dinosaurs and Artificial Life: Exploring the Culture of Nature in Computer and Video Games,Cultural Values,2001-2015,,None,,,,,,N,N,N,Y,,
Clary2004,Clary,2004,Digital Nature: Uru and the Representation of Wilderness in Computer Games,Works and Days,2001-2015,,None,,,,,,N,N,N,Y,B,
Opel2004,Opel,2004,"Zootycoon: Capitalism, Nature, and the Pursuit of Happiness",Ethics & the Environment,2001-2015,,None,,,,,,N,N,N,Y,,
Kaplan2008,Kaplan,2008,"Green Reading, Green Gaming: The Future of Ecocriticsm, Storytelling, and Environmental Ethics in Virtual Worlds",Meaningful Play 2008,2001-2015,,None,,,,,,N,N,N,Y,,
Stumpo2008,Stumpo,2008,E-cology: Everquest and the Environment(s),Interdisciplinary Studies in Literature and Environment,2001-2015,,None,,,,,,N,N,N,Y,,
Molloy2011,Molloy,2011,Hunted: Recreational Killing,Popular Media and Animals,2001-2015,,None,,,,,,N,N,N,Y,A,
Meyers2012,Meyers,2012,“Green Washing” the Digital Playground: How Virtual Worlds Support Ecological Intelligence…or Do They?,Proceedings of the 2012 iConference,2001-2015,,None,,,,,,N,N,N,Y,,
Weagly2013,Weagly,2013,"Dirt, not soil: A unit analysis of ""Minecraft"" dirt blocks and gameworld representations of global environmental ideologies",dissertation,2001-2015,,Minecraft,,,,,,N,N,N,Y,A,
Backe2014,Backe,2014,Greenshifting Game Studies: Arguments for an Ecocritical Approach to Digital Games,First Person Scholar,2001-2015,,None,,,,,,N,N,N,Y,B,
Bohunicky2014,Bohunicky,2014,Ecocomposition: Writing ecologies in digital games,Green Letters: Studies in Ecocriticism,2001-2015,,None,,,,,,N,N,N,Y,,
Caciuc2014,Caciuc,2014,Reflections on the Ecologic Ethics in Online Games,International Journal of Social and Educational Innovation,2001-2015,,None,,,,,,N,N,N,Y,A,
Tomotani2014,Tomotani,2014,"Robins, robins, robins",Journal of Geek Studies,2001-2015,,None,,,,,,N,N,Y,Y,B,
Condis2015,Condis,2015,"""Live in Your World, Play in Ours"": Video Games, Critical Play, and the Environmental Humanities",Resilience: A Journal of the Environmental Humanities,2001-2015,,None,,,,,,N,N,N,Y,A,
Lemonnier2015,Lemonnier,2015,Écofiction au sein de l'univers Pokémon: des observations aux applications serious d'un jeu vidéo,"Jeunes et Médias, Les Cahiers francophones de l''éducation aux médias-n° 7-été 2015: Les jeux vidéo: détournements, usages créatifs et enjeux pédagogiques",2001-2015,,Pokémon,,,,,,N,N,N,Y,B,
Parham2015,Parham,2015,Green Computer Games: To Play is to Inhabit,Green media and popular culture: an introduction,2001-2015,,None,,,,,,N,N,N,Y,A,
Sandbrook2015,Sandbrook,2015,Digital Games and Biodiversity Conservation,Conservation Letters,2001-2015,,None,,,,,,N,N,N,Y,B,
Woolbright2015,Woolbright,2015,Where the wild games are: Ecologies in Latin American video games,Ecomedia: Key Issues,2001-2015,,None,,,,,,N,N,N,Y,B,
Anderton2016,Anderton,2016,"Cyberbeasts: Substitution and Trivialization of the Non/Human Animal in Home Movies, Memes, and Video Games?",Screening the Nonhuman: Representations of Animal Others in the Media,2016-2019,,None,,,,,,N,N,N,Y,,
Liu2016,Liu,2016,Pokémon Go能促成新物种的发现？,Science World,2016-2019,,Pokémon,,,,,,N,N,N,Y,,
Smith2016,Smith,2016,A walk in the park: Is Pokémon Go foreshadowing the future of biodiversity research and scientific outreach?,EMBO reports,2016-2019,,Pokémon,,,,,,N,N,N,Y,,
