first_author,publication_year,title,publication
"Abbey",2021,"Self- Reliance in Fallout 4: Environmental Humanities in Serious Gaming","Resilience: A Journal of the Environmental Humanities"
"Abraham",2017,"Where are all the climate change games? Locating digital games’ response to climate change","Transformations"
"Alcott",2025,"GC Insights: The Anthro-Pokécene – environmental impacts echoed in the Pokémon world","Geoscience Communication"
"Amadori",2020,"Video Games for Environmental Communication: Raising Awareness through Sandbox Games and Streamers","Comunicazioni sociali"
"Bianchi",2024,"A Field Guide to Monsters: Practices of Wildlife Watching in Video Games","Ecogames: Playful Perspectives on the Climate Crisis"
"Caracciolo",2024,"Radical Digital Fishing: From Minigames to Bad Environmentalism","Proceedings of DiGRA 2024"
"Acorn",2009,"The Pokèmon Paradox","American Entomologist"
"Aghoro",2022,"On Postapocalyptic Frontiers in Horizon","Video Games and Spatiality in American Studies"
"Abraham",2022,"What Is an Ecological Game?","Digital Games After Climate Change"
"Anderton",2016,"Cyberbeasts: Substitution and Trivialization of the Non/Human Animal in Home Movies, Memes, and Video Games?","Screening the Nonhuman: Representations of Animal Others in the Media"
"Attebery",2015,"Coshaping Digital and Biological Animals: Companion Species Encounters and Biopower in the Video Games Pikmin and Pokémon","Humanimalia: a journal of human/animal interface studies"
"Attebery",2020,"Oil, Water, Lightning: Indigenous Posthumanism and Energy Futures in Elizabeth LaPensée's Thunderbird Strike","American Quarterly"
"Backe",2014,"Greenshifting Game Studies: Arguments for an Ecocritical Approach to Digital Games","First Person Scholar"
"Backe",2017,"Within the Mainstream: An Ecocritical Framework for Digital Game History","Ecozon@"
"Baerg",2024,"No Animals Were Harmed in the Playing of This Game: Hunting Ethics in Virtual Space","Society & Animals"
"Bainbridge",2014,"'It is a Pokémon world': The Pokémon franchise and the environment","International Journal of Cultural Studies"
"Buettel",2016,"Egress! How technophilia can reinforce biophilia to improve ecological restoration","Restoration Ecology"
"Baker",2017,"Civilization and Its Contents: Procedural Rhetoric, Nationalism, and Civilization V","dissertation"
"Barnes",2021,"Onkwehón:we play: Decolonizing videogame ecology and disrupting environmental racism","dissertation"
"Bartholomew",2017,"Using Pokéman GO to Teach Integrative STEM","Technology and Engineering Teacher"
"Barton",2022,"Creating Climate Conscious Players: Final Fantasy VII’s Ecoactivist Fan Communities","Przegląd Kulturoznawczy"
"Best",2023,"Digital Game Ecologies: Posthuman Convergences in Abzû and Horizon: Zero Dawn","Feminist Posthumanism in Contemporary Science Fiction Film and Media"
"Bianchi",2014,"Rhetoric and recapture: Theorising digital game ecologies through EA’s The Sims series","Green Letters: Studies in Ecocriticism"
"Bianchi",2018,"Simulated Species: The Question of the Animal in Digital Games","dissertation"
"Bianchi",2024,"Beyond Barren Wastelands: The Greening of the Post-apocalypse in Video Games","Journal of Games Criticism"
"Bianchi",2024,"Playing the Animal: Imagining the Nonhuman Animal in Two-Dimensional Action and Adventure Games","Animals and Science Fiction"
"Bledstein",2017,"Gaming Together: The Communal Journey in Upper One Games’ Never Alone","RoundTable: Roehampton Journal for Academic and Creative Writing"
"Blower",2023,"Ecological Outlaws: Slow Violence and Natural Encounter, from the Arcade Western to Rockstar's Digital Frontier","Red Dead Redemption: History, Myth, and Violence in the Video Game West"
"Bohunicky",2014,"Ecocomposition: Writing ecologies in digital games","Green Letters: Studies in Ecocriticism"
"Bohunicky",2017,"Ecomods: An Ecocritical Approach to Game Modification","Ecozon@"
"Boisvert-Bondu",2023,"Repenser la conscientisation aux enjeux écologiques dans l’industrie du jeu vidéo à partir de Freire","Sciences du jeu"
"Bonner",2018,"On Striated Wilderness and Prospect Pacing: Rural Open World Games as Liminal Spaces of the Man-Nature Dichotomy","Proceedings of DiGRA 2018"
"Breitling",2024,"Virtual Laboratories: Mesocosms and Gameworlds","Theory of Science"
"Burton",2023,"Vibrant Media Matter: Video Games, Social Media and Ecological Justice","dissertation"
"Butucea",2020,"Gaming as Everything. Challenging the Anthropocene through Nomadic Performativity","Nordic Threatre Studies"
"Caracciolo",2021,"Animal Mayhem Games and Nonhuman-Oriented Thinking","The international journal of computer game research"
"Caracciolo",2022,"Ecologies of Interactive Narrative","Contemporary Fiction and Climate Uncertainty: Narrating Unstable Futures"
"Carlin",2023,"Into the Not-So-Wild World of Pokémon","Edge Effects"
"Cash",2024,"“The Crystals’ Blessing”: Technogaianism and Skepticism in Final Fantasy and Stranger of Paradise","Video Games and Environmental Humanities: Playing to Save The World"
"Chang",2019,"Between Plants and Polygons: SpeedTrees and an Even Speedier History of Digital Morphogenesis","electronic book review"
"Chang",2019,"Playing Nature: Ecology in Video Games","Playing Nature: Ecology in Video Games"
"Chang",2020,"Rambunctious Games: A Manifesto for Environmental Game Design","Art Journal"
"Chang",2021,"Digital Games","The Cambridge Companion to Literature and the Anthropocene"
"Chang",2024,"Where the Model Ends","Configurations"
"Cheyne",2024,"The power of gibbon songs: Going beyond the research to inform conservation actions","American Journal of Primatology"
"Clary",2004,"Digital Nature: Uru and the Representation of Wilderness in Computer Games","Works and Days"
"Clayton",2024,"Virtual Nature and the Future of the Wild","The Heart of the Wild"
"Coelho",2016,"Pokémon GO: o resgate das brincadeiras de rua e os possíveis benefícios à popularização da biodiversidade","I Colóquio de Zoologia Cultural - Livro do Evento"
"Condis",2015,"""Live in Your World, Play in Ours"": Video Games, Critical Play, and the Environmental Humanities","Resilience: A Journal of the Environmental Humanities"
"Condis",2020,"Sorry, Wrong Apocalypse: Horizon Zero Dawn, Heaven’s Vault, and the Ecocritical Videogame","The international journal of computer game research"
"Costanza",2014,"Simulation games that integrate research, entertainment, and learning around ecosystem services","Ecosystem Services"
"Crowley",2024,"Playing farmer: At the intersections of neo-liberal capitalism and ecocriticism in Stardew Valley","Journal of Gaming & Virtual Worlds"
"Darnov",2020,"What Happens When Gamers Become (Digital) Geoengineers?","Edge Effects"
"Davis",2022,"An Overview of Environmental Themes in the Video Game Industry","The Geographical Bulletin"
"Deane",2021,"“Like harvest moon, except I ate a guy:” Graveyard Keeper’s Dark Ecology","Current Objectives of Postgraduate American Studies"
"Deckard",2023,"Extractive Gothic","The Edinburgh Companion to Globalgothic"
"Dorward",2016,"Pokémon Go: Benefits, Costs, and Lessons for the Conservation Movement","Conservation Letters"
"Freeman",2018,"Mediated Nature","Children, Nature and Cities: Rethinking the Connections"
"du Plessis",2018,"The becoming-flower of video games: a Deleuzoguattarian analysis of Thatgamecompany’s Flower (2009)","Image & Text"
"DuBose",2024,"Chernobylite: A Light in the Exclusion Zone","Video Games and Environmental Humanities: Playing to Save The World"
"Duckert",2024,"Climate Change Ethics in Harvestella: Weirding, Disquietude, Choice","Video Games and Environmental Humanities: Playing to Save The World"
"Duncan",2018,"Savage Beasts: The Spatial Conflict between Civilization and Nature in The Elder Scrolls V: Skyrim","First Person Scholar"
"Frelik",2024,"Green New Worlds? Ecology and Energy in Planetary Colonization Games","Ecogames: Playful Perspectives on the Climate Crisis"
"Dyer",2021,"“In You All Things”: Biblical Influences on Story, Gameplay, and Aesthetics in Guerrilla Games’ Horizon Zero Dawn","Journal for Interdisciplinary Biblical Studies"
"Echaroux",2023,"Emanuele Coccia: «Il faut que l’écologie embrasse l’esprit ludique propre au jeu vidéo»","Usbek & Rica"
"Eggertsson",2022,"Life as a Lynx: a Digital Animal Story","Squirrelling: Human-Animal Studies in the Nortthern-European Region"
"El Ghilali",2022,"The Emergent Aspect of Climate Change in Video Games: A Historical Review","International Conference on Interfaces and Human Computer Interaction"
"England",2016,"Sustainable Worlds, Sustainable Words: Using Digital Games to Develop Environmental Awareness in Writing Classrooms","Reflections"
"Falkenhayner",2021,"Futurity as an Effect of Playing Horizon: Zero Dawn (2017)","Humanities"
"Farca",2018,"The Last of Us and the Journey to Nature","Playing Dystopia: Nightmarish Worlds in Video Games and the Player's Aesthetic Response"
"Farca",2019,"The Concept of Utopia in Digital Games","Playing Utopia: Futures in Digital Games"
"Farca",2023,"Farming a Cosy Utopia: A Regenerative Escape to Simpler Times","Proceedings of DiGRA 2023"
"Freye",2023,"Ecocritical Agency in I Was a Teenage Exocolonist","Games and Culture"
