resourceRelationshipID	resourceID	relatedResourceID	relationshipOfResource	relationshipOfResourceID	relationshipAccordingTo	relationshipEstablishedDate	relationshipRemarks
SUNDARBANS:REL:1	SUNDARBANS:OCC:2	SUNDARBANS:OCC:1	pollinates	http://purl.obolibrary.org/obo/RO_0002455	Gani (2003)		seasonal:dry (literature record; not yet in GloBI).
SUNDARBANS:REL:2	SUNDARBANS:OCC:3	SUNDARBANS:OCC:1	eats	http://purl.obolibrary.org/obo/RO_0002470	Khan (2012)		seasonal:all (literature record; not yet in GloBI).
SUNDARBANS:REL:3	SUNDARBANS:OCC:4	SUNDARBANS:OCC:1	eats	http://purl.obolibrary.org/obo/RO_0002470	Chand & Dey (2008)		seasonal:wet (literature record; not yet in GloBI).
SUNDARBANS:REL:4	SUNDARBANS:OCC:7	SUNDARBANS:OCC:5	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Mukherjee et al. (2012)		seasonal:all (literature record; not yet in GloBI).
SUNDARBANS:REL:5	SUNDARBANS:OCC:7	SUNDARBANS:OCC:4	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Mukherjee et al. (2012)		seasonal:all (literature record; not yet in GloBI).
SUNDARBANS:REL:6	SUNDARBANS:OCC:6	SUNDARBANS:OCC:5	preysOn	http://purl.obolibrary.org/obo/RO_0002439	BirdLife International		seasonal:all (literature record; not yet in GloBI).
SUNDARBANS:REL:7	SUNDARBANS:OCC:8	SUNDARBANS:OCC:3	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Khan (2012); Jhala et al. (2020)		seasonal:all Corroborated in GloBI (4+ record(s)).
SUNDARBANS:REL:8	SUNDARBANS:OCC:9	SUNDARBANS:OCC:5	eats	http://purl.obolibrary.org/obo/RO_0002470	Hossain et al. (2019)		seasonal:wet (literature record; not yet in GloBI).
SUNDARBANS:REL:9	SUNDARBANS:OCC:9	SUNDARBANS:OCC:2	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	Gani (2003); Jalais (2010)		Mawali gather wild honey from Apis dorsata combs in the dry season. seasonal:dry (literature record; not yet in GloBI).
SUNDARBANS:REL:10	SUNDARBANS:OCC:9	SUNDARBANS:OCC:8	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	Jalais (2010)		Human-tiger conflict: encounters in the forest fringe intensify as prey and habitat decline. seasonal:all Corroborated in GloBI (10+ record(s)).
