resourceRelationshipID	resourceID	relatedResourceID	relationshipOfResource	relationshipOfResourceID	relationshipAccordingTo	relationshipEstablishedDate	relationshipRemarks
EPR-VENTS:REL:1	EPR-VENTS:OCC:1	EPR-VENTS:OCC:3	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Cavanaugh et al. (1981); Felbeck (1981); Robidart et al. (2008)		Obligate chemosynthetic endosymbiosis: the bacterium oxidises hydrogen sulfide from the vent fluid to fix inorganic carbon and nourish the host, which as an adult has neither mouth nor gut. Specialised plume haemoglobins carry sulfide and oxygen to the internal trophosome. hasHost = RO_0002454 (GloBI/RO mapping). Vent chemistry (H2S, CO2) is the abiotic energy substrate, recorded in habitat and dynamicProperties.energySource rather than as a taxon occurrence. seasonal:all (aseasonal at depth).
EPR-VENTS:REL:2	EPR-VENTS:OCC:6	EPR-VENTS:OCC:2	eats	http://purl.obolibrary.org/obo/RO_0002470	Van Dover (2000); Bates et al. (2005)		Vent limpets graze free-living sulfur-oxidising bacterial mat on tubeworm tubes and surrounding basalt. Lepetodrilus is among the most abundant grazers on EPR tubeworm aggregations. seasonal:all.
EPR-VENTS:REL:3	EPR-VENTS:OCC:5	EPR-VENTS:OCC:2	eats	http://purl.obolibrary.org/obo/RO_0002470	Desbruyeres et al. (1998); Van Dover (2000)		The Pompeii worm grazes filamentous sulfur-bacterial film on active smoker-chimney walls and also carries dense dorsal epibiotic bacteria. One of the most heat-tolerant metazoans known. seasonal:all.
EPR-VENTS:REL:4	EPR-VENTS:OCC:7	EPR-VENTS:OCC:6	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Micheli et al. (2002)		The vent crab is a dominant mobile predator; predation experiments at EPR 9-10N show it preys on gastropods including Lepetodrilus. seasonal:all.
EPR-VENTS:REL:5	EPR-VENTS:OCC:7	EPR-VENTS:OCC:4	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Micheli et al. (2002)		The crab preys on and scavenges vent mussels, particularly at mussel-bed margins where shells are accessible. seasonal:all.
EPR-VENTS:REL:6	EPR-VENTS:OCC:7	EPR-VENTS:OCC:3	eats	http://purl.obolibrary.org/obo/RO_0002470	Micheli et al. (2002); Sancho et al. (2005)		Sublethal plume cropping: crabs and fish crop exposed tubeworm plume tips, which the worm can regenerate. A partial-consumption interaction rather than lethal predation. seasonal:all.
EPR-VENTS:REL:7	EPR-VENTS:OCC:8	EPR-VENTS:OCC:6	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Sancho et al. (2005)		Gut-content analysis of the vent eelpout at EPR 9-10N shows selective predation on gastropods (including limpets) and amphipods. seasonal:all.
EPR-VENTS:REL:8	EPR-VENTS:OCC:8	EPR-VENTS:OCC:7	preysOn	http://purl.obolibrary.org/obo/RO_0002439	Sancho et al. (2005)		The eelpout also preys on small and juvenile crabs and occupies the apex of the vent metazoan food web. seasonal:all.
EPR-VENTS:REL:9	EPR-VENTS:OCC:9	EPR-VENTS:OCC:3	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	Cavanaugh et al. (1981); Lutz et al. (1994); Van Dover (2000)		The community is documented only through crewed deep-submergence (DSV Alvin) and remotely-operated-vehicle dives; the chemosynthetic symbiosis itself was discovered from Alvin-collected specimens. Observational access, not exploitation. This is the observational-evidence basis for the whole record. seasonal:all.
EPR-VENTS:REL:10	EPR-VENTS:OCC:9	EPR-VENTS:OCC:4	interactsWith	http://purl.obolibrary.org/obo/RO_0002437	Van Dover et al. (2018); Boschen et al. (2013)		Emerging pressure: seafloor massive-sulfide (SMS) mining prospection and microbial bioprospecting at hydrothermal vents. The East Pacific Rise lies in areas beyond national jurisdiction, where seabed mineral activity falls under the International Seabed Authority (UNCLOS Part XI). No national countryCode applies. seasonal:all.
