realm_code,realm_name,biome_code,biome_name,efg_code,efg_name
F,,F1,,F1.5,F1.5 Seasonal lowland rivers
F,,F1,,F1.4,F1.4 Seasonal upland streams
F,,F1,,F1.3,F1.3 Freeze-thaw rivers and streams
F,,F1,,F1.2,F1.2 Permanent lowland rivers
F,,F1,,F1.1,F1.1 Permanent upland streams
F,,F1,,F1.7,F1.7 Large lowland rivers
F,,F1,,F1.6,F1.6 Episodic arid rivers
F,,F2,,F2.10,F2.10 Subglacial lakes
F,,F2,,F2.1,F2.1 Large permanent freshwater lakes
F,,F2,,F2.2,F2.2 Small permanent freshwater lakes
F,,F2,,F2.3,F2.3 Seasonal freshwater lakes
F,,F2,,F2.4,F2.4 Freeze-thaw freshwater lakes
F,,F2,,F2.5,F2.5 Ephemeral freshwater lakes
F,,F2,,F2.6,F2.6 Permanent salt and soda lakes
F,,F2,,F2.8,F2.8 Artesian springs and oases
F,,F2,,F2.9,F2.9 Geothermal pools and wetlands
F,,F2,,F2.7,F2.7 Ephemeral salt lakes
F,,F3,,F3.2,F3.2 Constructed lacustrine wetlands
F,,F3,,F3.3,F3.3 Rice paddies
F,,F3,,F3.4,F3.4 Freshwater aquafarms
F,,F3,,F3.5,"F3.5 Canals, ditches and drains"
F,,F3,,F3.1,F3.1 Large reservoirs
FM,,FM1,,FM1.2,FM1.2 Permanently open riverine estuaries and bays
FM,,FM1,,FM1.1,FM1.1 Deepwater coastal inlets
FM,,FM1,,FM1.3,FM1.3 Intermittently closed and open lakes and lagoons
M,,M1,,M1.5,M1.5 Photo-limited marine animal forests
M,,M1,,M1.9,M1.9 Upwelling zones
M,,M1,,M1.8,M1.8 Subtidal mud plains
M,,M1,,M1.7,M1.7 Subtidal sand beds
M,,M1,,M1.6,M1.6 Subtidal rocky reefs
M,,M1,,M1.4,M1.4 Shellfish beds and reefs
M,,M1,,M1.3,M1.3 Photic coral reefs
M,,M1,,M1.2,M1.2 Kelp forests
M,,M1,,M1.1,M1.1 Seagrass meadows
M,,M1,,M1.10,M1.10 Rhodolith/Maërl beds
M,,M2,,M2.2,M2.2 Mesopelagic ocean water
M,,M2,,M2.5,M2.5 Sea ice
M,,M2,,M2.3,M2.3 Bathypelagic ocean waters
M,,M2,,M2.1,M2.1 Epipelagic ocean waters
M,,M2,,M2.4,M2.4 Abyssopelagic ocean waters
M,,M3,,M3.4,"M3.4 Seamounts, ridges and plateaus"
M,,M3,,M3.7,M3.7 Chemosynthetic-based-ecosystems (CBE)
M,,M3,,M3.6,M3.6 Hadal trenches and troughs
M,,M3,,M3.1,M3.1 Continental and island slopes
M,,M3,,M3.5,M3.5 Deepwater biogenic beds
M,,M3,,M3.2,M3.2 Submarine canyons
M,,M3,,M3.3,M3.3 Abyssal plains
M,,M4,,M4.1,M4.1 Submerged artificial structures
